Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cameroon,MtCO2e,71.93,71.62,71.57,75.74,132.18,132.22,132.50,133.37,137.23,136.42,137.82,123.34,123.40,126.14,123.97,126.78,125.10,126.33,126.48,126.55,127.86,119.25,118.77,120.10,120.46,121.47,122.84,122.84,123.33
Zimbabwe,MtCO2e,43.18,43.48,44.29,40.75,40.49,40.35,42.27,41.44,42.75,45.06,42.23,43.14,40.16,37.49,37.39,37.86,36.73,37.26,35.35,36.27,39.30,42.04,42.36,42.42,40.84,42.89,116.52,116.09,118.77
Czech Republic,MtCO2e,172.90,156.17,151.72,147.00,139.71,139.69,141.30,138.79,132.16,124.05,134.68,136.91,131.29,135.63,136.18,133.11,134.09,137.06,132.00,124.37,127.45,128.14,124.74,119.45,116.73,118.65,118.28,118.30,117.03
Kuwait,MtCO2e,32.05,38.74,26.33,32.97,37.81,38.22,37.79,39.28,45.51,49.76,53.58,57.48,60.42,63.00,67.15,75.23,78.24,77.91,82.71,85.46,89.21,93.58,97.45,100.55,100.31,106.21,109.84,111.46,112.97
Mozambique,MtCO2e,84.89,84.87,85.21,85.61,85.58,85.82,71.60,69.33,72.05,70.86,68.48,86.39,86.48,91.40,90.39,95.09,93.89,96.00,100.92,95.68,104.37,93.75,97.79,99.38,99.78,98.90,107.78,106.39,110.07
Belgium,MtCO2e,126.81,131.76,129.84,127.66,133.02,133.19,138.55,135.36,138.13,134.27,134.30,135.68,128.40,131.78,130.35,126.49,123.51,118.84,121.18,114.12,121.44,109.82,109.23,110.50,104.09,109.16,110.52,108.41,108.91
Chad,MtCO2e,24.94,31.37,32.25,33.22,34.21,35.24,38.44,40.17,44.74,46.58,46.87,50.83,55.04,59.23,62.44,65.92,67.20,69.47,69.93,69.99,73.18,84.86,88.03,89.70,92.23,97.44,100.19,102.15,105.06
Libya,MtCO2e,105.32,102.72,99.77,100.49,105.69,107.57,109.81,109.57,111.01,109.46,111.30,115.37,120.15,123.42,127.32,133.59,134.75,132.52,138.42,141.57,145.81,115.16,117.93,109.15,102.27,84.88,86.62,96.58,103.04
Qatar,MtCO2e,14.08,16.24,16.42,17.34,18.23,19.10,20.05,21.69,23.13,25.37,24.23,26.17,30.50,32.04,35.26,44.81,49.05,55.95,60.67,63.19,68.84,72.84,80.86,82.70,88.94,92.46,94.70,97.34,99.83
Afghanistan,MtCO2e,12.79,12.71,11.25,11.08,10.88,11.09,12.05,12.95,13.71,14.53,12.69,13.61,16.21,16.90,16.64,17.52,21.16,25.00,31.66,37.08,45.03,58.41,66.50,74.55,84.37,93.48,95.53,97.45,99.08
Paraguay,MtCO2e,75.16,72.17,71.53,71.75,71.74,73.74,73.70,74.90,75.13,78.31,73.74,89.81,90.05,91.75,89.59,90.96,91.09,94.74,92.51,94.53,97.24,110.36,111.63,113.28,115.13,115.54,94.16,97.10,95.29
Zambia,MtCO2e,77.42,76.95,76.27,74.99,73.43,70.94,59.95,58.16,57.15,53.22,47.47,53.21,56.45,62.17,62.74,65.37,60.68,63.26,65.56,62.11,68.23,82.69,86.73,88.17,89.04,94.32,93.51,93.87,93.23
Morocco,MtCO2e,34.78,36.19,37.31,37.00,40.11,40.73,41.41,43.36,44.29,46.47,47.58,51.84,53.64,53.91,58.46,61.35,63.90,65.14,68.11,68.69,72.50,80.73,83.00,83.82,85.61,88.35,86.73,91.16,92.35
Ecuador,MtCO2e,70.40,71.25,73.51,73.27,74.88,78.00,81.38,83.43,82.35,79.72,78.93,75.26,75.62,76.20,78.86,80.37,82.85,82.98,84.27,87.58,90.38,79.83,81.06,84.03,84.87,83.48,91.17,90.21,91.84
Israel,MtCO2e,43.95,45.03,47.82,51.88,55.21,59.03,62.13,65.15,66.52,68.72,73.59,73.50,75.52,76.34,77.43,76.09,80.41,83.61,84.28,83.86,89.32,89.54,96.67,88.51,87.10,89.46,89.51,91.14,87.92
Central African Republic,MtCO2e,64.44,65.19,65.67,66.16,69.10,69.67,58.69,62.37,67.96,64.61,66.21,74.07,69.63,83.41,72.15,78.25,77.77,80.56,80.89,70.69,78.74,83.04,80.14,80.65,79.57,83.31,90.99,86.67,87.07
