Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Switzerland,MtCO2e,3.09,2.91,3.17,3.34,3.56,3.71,3.88,4.04,4.22,4.41,4.65,4.51,3.99,3.64,3.47,3.56,3.75,3.94,4.22,4.05,4.24,4.54,4.62,4.63,4.72,4.88,5.10,5.27,5.53
Philippines,MtCO2e,1.23,1.15,1.43,1.47,1.56,1.53,1.95,2.29,1.77,2.16,2.11,2.31,2.31,2.27,2.35,2.52,2.55,3.79,3.70,3.56,3.55,3.89,3.82,3.81,3.40,3.72,4.04,5.04,5.13
Colombia,MtCO2e,1.91,1.94,2.20,2.11,2.55,2.75,2.73,2.89,2.75,2.63,2.66,2.99,2.74,2.75,3.04,3.00,3.51,3.20,3.49,3.62,4.41,4.84,6.73,3.98,4.32,4.98,5.10,4.86,5.03
Denmark,MtCO2e,4.78,4.36,4.55,5.91,6.59,6.87,6.71,6.36,6.53,6.39,6.39,5.75,4.82,5.04,4.79,4.97,5.77,5.99,5.54,3.92,4.58,4.68,4.12,4.45,5.01,5.03,4.92,4.57,4.89
New Zealand,MtCO2e,2.39,2.22,2.15,2.22,2.66,2.75,2.73,2.75,2.88,2.79,2.57,2.78,2.85,2.89,2.99,3.23,3.17,3.30,3.44,3.30,3.41,3.45,3.44,3.58,3.44,3.60,4.31,4.62,4.89
Israel,MtCO2e,1.98,2.03,2.18,2.52,2.59,2.80,2.57,2.61,2.64,2.38,2.99,2.65,4.17,4.17,3.96,4.05,4.23,4.60,3.70,3.54,3.50,3.58,3.52,3.30,2.98,3.51,3.39,4.01,4.38
Vietnam,MtCO2e,0.09,0.10,0.11,0.15,0.16,0.34,0.36,0.30,0.41,0.62,0.77,0.96,1.08,1.18,1.64,1.63,1.70,1.79,1.95,2.10,2.53,2.01,2.07,2.25,2.24,2.94,3.04,3.35,4.30
Canada,MtCO2e,5.63,5.48,5.76,5.22,5.54,5.81,6.06,5.94,6.66,6.44,6.49,6.89,5.56,3.75,4.67,5.37,4.77,4.31,4.29,4.41,5.61,4.76,4.34,3.88,3.63,3.28,2.94,3.11,4.12
Poland,MtCO2e,1.91,1.17,1.50,1.16,1.17,1.25,1.47,1.52,1.70,1.93,1.73,1.64,1.65,1.76,1.65,1.98,2.21,2.12,2.47,2.23,2.21,2.03,2.07,2.02,2.21,2.54,2.62,3.38,3.85
Peru,MtCO2e,0.73,0.75,0.76,0.85,1.01,1.23,1.30,1.31,1.32,1.39,1.25,1.30,0.82,0.65,1.62,1.25,1.73,0.83,2.14,2.08,1.85,2.25,2.13,1.92,2.40,2.24,2.49,3.65,3.71
Ireland,MtCO2e,1.10,1.11,0.96,1.45,1.26,1.49,1.52,1.71,1.77,2.04,2.22,2.60,2.69,2.71,2.53,2.70,2.83,3.25,2.94,1.96,2.59,2.36,2.09,2.32,2.58,2.94,3.02,3.45,3.70
Sri Lanka,MtCO2e,1.22,0.97,0.95,1.10,1.10,1.10,1.25,0.88,0.82,0.74,0.83,0.70,0.81,0.71,0.78,1.48,1.40,0.86,0.94,0.86,1.00,1.56,2.11,2.11,2.80,2.47,3.57,3.53,3.53
Finland,MtCO2e,2.78,2.64,2.98,2.46,2.13,1.92,2.12,2.26,2.64,2.83,3.15,2.88,3.09,3.11,2.88,2.86,3.16,3.06,3.01,2.31,2.27,2.53,2.22,2.30,2.17,2.85,2.82,3.15,3.35
Nigeria,MtCO2e,1.55,2.24,2.20,2.31,2.27,2.69,2.94,2.18,2.17,2.99,1.80,1.78,1.61,1.82,1.94,2.00,1.97,1.95,3.76,3.19,2.48,2.48,2.57,2.25,2.15,2.26,2.33,2.60,3.11
Ecuador,MtCO2e,0.89,0.82,1.09,1.76,1.64,1.54,1.96,2.12,0.90,0.78,1.59,1.33,2.17,2.42,2.79,2.73,2.54,2.66,2.81,2.65,2.25,2.46,2.26,2.02,2.13,1.76,1.78,1.98,3.02
Iraq,MtCO2e,1.40,0.93,1.02,1.15,1.33,1.29,1.27,1.43,1.67,1.75,2.13,2.19,2.09,1.81,2.19,2.32,2.52,2.61,2.73,2.92,2.97,3.03,1.58,1.82,2.27,2.39,2.99,2.93,2.88
